SMILES,pCHEMBL,Molecular Weight,logP
Cc1cc(OC2CC3CCC(C2)N3Cc2ccccc2)cc(C(N)=O)c1,5.76,350.46,3.67
O=C(NC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5)c1ccc2ccccc2n1,8.3,497.6,3.3
CC(O)C(NC(=O)C1NC(=O)C(C(C)O)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C2Cc3ccccc3CN2)CSSC1(C)C)C(N)=O,6.0,1116.34,
CN1CCC23c4c5ccc(O)c4OC2c2c(c4c(n2C)CCCC4)CC3(O)C1C5,7.01,392.5,2.53
CC1C2Cc3ccc4c(=O)[nH]cnc4c3C1(C)CCN2CC1CC1,6.8,323.44,2.86
c1ccc(COC2(c3ccccc3)CCN(C(c3ccccc3)c3ccccc3)CC2)cc1,4.87,433.6,6.98
CCOC1(c2ccccc2)CCN(C(c2ccccc2)c2ccccc2)CC1,6.31,371.52,5.8
OCc1ccccc1C(c1ccccc1)N1CCC(O)(c2ccccc2)CC1,5.93,373.5,4.25
OC1(c2ccccc2)CCN(C(c2ccccc2)c2ccccc2Cl)CC1,5.95,377.92,5.41
OC1(c2ccccc2)CCN(C(c2ccccc2)c2ccccc2C(F)(F)F)CC1,5.87,411.47,5.78
Cc1ccccc1C(c1ccccc1)N1CCC(O)(c2ccccc2)CC1.Cl,6.53,393.96,5.07
O=C(NCC1CC23CCN(CC4CC4)C(Cc4ccc(O)cc42)C3(O)CO1)c1ccccc1,9.87,448.56,2.62
COc1ccc(C2CN3C(=NCC3C)N2CCCc2ccccc2)cc1,7.41,349.48,3.74
CC(C)C(CN1CCC(C)(c2cccc(O)c2)C(C)C1)NC(=O)C1CCc2cc(O)ccc2C1,8.22,464.65,4.64
CC1C2Cc3cc4cc[nH]c(=O)c4cc3C1(C)CCN2CC1CC1,7.22,322.45,3.46
COC(=O)C1CC(OC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,8.55,432.47,3
COC(=O)C1CC(S)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,6.54,406.5,3.37
COC(=O)C1CC(SC(C)=O)C(=O)C2C1(C)CCC1C(=O)OC(c3ccoc3)CC12C,6.91,448.54,3.72
O=C(Cc1ccc(Cl)c(Cl)c1)N1CC2CCC(N3CCCC3)C1CN2Cc1ccccc1,6.04,472.46,4.88
CC1C2Cc3ccc(O)cc3C1(C)CCN2CCc1ccccc1,8.7,321.46,4.16
CC1C2Cc3ccc(C(N)=O)cc3C1(C)CCN2CC1CCCO1,7.52,328.46,2.49
CC(C)=CCN1CCC2(C)c3cc(C(N)=O)ccc3CC1C2C,8.25,312.46,3.28
CC1C2Cc3ccc(O)cc3C1(C)CCN2C,8.0,231.34,2.55
Cc1ccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)cn1,6.89,365.48,3.62
NC(=O)c1cccc(OC2CCN(CC3CC3)CC2)c1,4.55,274.36,2.04
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)o1,6.41,340.42,3.26
CC(c1ccccc1)N1C2CCC1CC(Oc1cccc(C(N)=O)c1)C2,4.69,350.46,3.92
COc1cccc(C(C)N2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)c1,7.34,380.49,3.93
Cc1ccc(C(=O)NC2CCC3(O)C4Cc5ccc(O)c6c5C3(CCN4CC3CC3)C2O6)cc1.O=C(O)C(=O)O,10.82,550.61,3.06
O=C(NC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5)c1ccc(Br)cc1.O=C(O)C(=O)O,10.0,615.48,3.52
CN(C)C(=O)OC1CCC2(O)C3Cc4ccc(O)c5c4C2(CCN3CC2CC2)C1O5,7.55,414.5,2.02
O=C(C#Cc1ccccc1)NC12CCC(=O)C3Oc4c(O)ccc5c4C31CCN(CC1CC1)C2C5,8.95,468.55,2.7
CCN(CC)C(=O)c1ccc(N(c2cccc(O)c2)C2CCN(CCc3nccn3C)CC2)cc1,5.34,475.64,4.45
CC1(N2CCC(n3c(-c4cccc(C(F)(F)F)c4)nc4ccccc43)CC2)CCCCCCC1,5.8,469.6,7.86
CC(O)C(NC(=O)C(NC(=O)C(NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CS)NC(=O)C(N)Cc1ccccc1)C(C)O)C(C)(C)S)C(=O)O,6.0,1107.33,
O=C(OC12CCC(=O)C3Oc4c(O)ccc5c4C31CCN(CC1CC1)C2C5)c1ccccn1,7.59,446.5,2.79
C=CCCN1CCC(N(c2ccc(C(=O)N(CC)CC)cc2)c2cccc(O)c2)CC1,7.01,421.59,5.05
CN1CCCC(c2nc3ccccc3n2C2CCN(C3(C)CCCCCCC3)CC2)C1,8.0,422.66,5.99
CCN(CC)C(=O)c1ccc(N(c2cccc(O)c2)C2CCN(CC(C)c3ccccc3)CC2)cc1,5.66,485.67,6.28
O=C(OC12CCC(=O)C3Oc4c(O)ccc5c4C31CCN(CC1CC1)C2C5)c1ccccc1,6.23,445.52,3.39
Cl.NC(=O)c1ccc2c(c1O)C13CCN(CC4CC4)C(C2)C1(O)CCC(=O)C3,7.42,406.91,1.25
CC1C2Cc3ccc(C(=O)NCCc4ccc(-c5ccc6c(c5)OCO6)cc4)cc3C1(C)CCN2CC1CC1,9.47,522.69,5.99
CC(C)Oc1cccc(-c2ccc(CCNC(=O)c3ccc4c(c3)C3(C)CCN(CC5CC5)C(C4)C3C)cc2)c1,8.62,536.76,7.05
CC1C2Cc3ccc(C(=O)NCCc4ccc(-c5ccc(O)cc5)cc4)cc3C1(C)CCN2CC1CC1,9.44,494.68,5.97
Oc1nc2ccccc2n1CCCNCc1cc2c(cc1Cl)OCO2,6.29,359.81,3.3
CC(=O)N1CCN(C(=O)Cc2ccc(S(C)(=O)=O)cc2)C(CN2CCC(O)C2)C1,9.05,423.54,-0.24
CC(=O)N1CCC23c4c5ccc(O)c4OC2c2[nH]c4c(c2CC3(O)C1C5)CC1(O)C2Cc3ccc(O)c5c3C1(CCN2CC1CC1)C4O5,6.98,649.74,2.96
COc1cccc(CCN2C3C4C5CC6C7C5C3C7C2(O)C64)c1,5.85,309.41,2
CCCN(CCC)C1CCc2ccc(O)cc2C1(C)C,6.26,275.44,4.11
N=C(N)Nc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5,10.4,471.56,2.88
CC1C2CCCC1(c1cccc(O)c1)CCN2C,6.48,245.37,3.15
COc1ccccc1NC(=O)N1CCC(c2ccccc2)(c2nccn2Cc2ccccc2)CC1,6.11,466.59,5.55
CCNC(=O)N1CCC(c2ccccc2)(c2nccn2Cc2ccccc2)CC1,6.62,388.52,4.04
NC(=O)N1CCC(c2ccccc2)(c2nccn2Cc2ccccc2)CC1,6.48,360.46,3.39
CN(C(=O)N1CCC(c2ccccc2)(c2nccn2Cc2ccccc2)CC1)c1ccccc1,6.4,450.59,5.57
O=C(Nc1ccccc1)N1CCC(c2ccccc2)(c2nccn2Cc2ccccn2)CC1,7.34,437.55,4.94
CC1CN(CCc2ccccc2)C(CCN)CC1(C)c1cccc(O)c1,6.29,352.52,3.95
Cc1cc(O)cc(C)c1CC(N)C(=O)N1Cc2cc(-c3ccsc3)ccc2CC1C(=O)O,5.56,450.56,3.65
COc1ccc2c3c1OC1c4[nH]c5c(c4CC4(O)C(C2)N(CC2CC2)CCC314)CC1(O)C2Cc3ccc(O)c4c3C1(CCN2CC1CC1)C5O4,7.55,675.83,4.13
CN(C(=O)CNc1ccc(C(F)(F)F)cc1)C(CN1CCC(O)C1)c1ccccc1,9.1,421.46,3.38
CCCCCCCN1CC(C)C(C)(c2cccc(O)c2)CC1CCC,7.24,345.57,6.13
CCCC1CC(C)(c2cccc(O)c2)C(C)CN1C,6.66,261.41,3.79
CCCC1CC(C)(c2cccc(O)c2)C(C)CN1Cc1ccccc1,6.44,337.51,5.36
CC1CN(CCc2ccccc2)C(CCc2ccccc2)CC1(C)c1cccc(O)c1,6.1,413.61,6.24
COC12C=CC3(CC14CCC(C)(C)C4O)C1Cc4ccc(O)c5c4C3(CCN1C)C2O5,8.8,423.55,3.16
CC(=O)N(CC(=O)N(C)C(CN1CCC(O)C1)c1ccccc1)c1ccccc1,8.42,395.5,2.31
CN(C(=O)CNc1ccc(C#N)cc1)C(CN1CCC(O)C1)c1ccccc1,9.18,378.48,2.24
CN(C(=O)CNC(=O)OCc1ccccc1)C(CN1CCCC1)c1ccccc1,7.08,395.5,3.21
Cc1ccc(CN(CCNC(=O)c2ccc(CNS(=O)(=O)c3cccc(C)c3)cc2)C(C)C)cc1,5.74,493.67,4.42
O=C1C(c2cccc(S(=O)(=O)N3CCCC3)c2)CC=CCN1C(CN1CCCC1)c1ccccc1,5.72,493.67,4.18
O=C1C(Oc2ccc(Cl)c(Cl)c2)CC=CCN1C(CN1CCCC1)c1ccccc1,8.59,445.39,5.37
NC(=O)c1ccc2c(c1O)C13CCN(CC4CC4)C(C2)C1(O)CCC(=O)C3,9.64,370.45,1.25
CCCCC(=N)NCCc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5,9.52,540.71,4.87
CC(C)C(CN1CCC(C)(c2cccc(O)c2)C(C)C1)NCC1Cc2ccc(O)cc2CN1,8.74,451.66,4.03
CC(=O)OC1CC(C(=O)NC2CC2)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,6.08,457.52,3.11
CC(=O)OC1CC(C(=O)O)C2(C)CCC3C(=O)OC(c4ccoc4)CC3(C)C2C1=O,7.13,418.44,2.91
CCCCC(=N)NCCc1ccc2[nH]c3c(c2c1)CC1(O)C2Cc4ccc(O)c5c4C1(CCN2CC1CC1)C3O5,9.77,540.71,4.87
CC1CN(CCc2ccccc2)C(c2ccccc2)CC1(C)c1cccc(O)c1,6.54,385.55,5.98
COc1ccc(CC2CN3C(=NCC3C)N2CCCC2CCCCC2)cc1,7.43,369.55,4.34
NC(=O)c1ccc(OC2CC3CCC(C2)N3Cc2ccccc2)c(F)c1,5.57,354.43,3.5
Oc1cccc(OC2CC3CCC(C2)N3Cc2ccccc2)c1,6.46,309.41,3.97
O=[N+]([O-])c1cc2c(cc1CN1CCC(n3c(O)nc4ccccc43)CC1)OCO2,7.43,396.4,3.22
OC(COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3)COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3,9.0,679,8.22
NCc1cc2c(cc1O)C13CCCCC1C(C2)N(CC1CCC1)CC3,6.85,340.51,3.71
CCCNCc1cc2c(cc1O)C13CCCCC1C(C2)N(CC1CCC1)CC3,6.46,382.59,4.75
CCN(CCCCN(CC)Cc1cc2c(cc1O)C13CCCCC1C(C2)N(CC1CCC1)CC3)Cc1cc2c(cc1O)C13CCCCC1C(C2)N(CC1CCC1)CC3,7.36,791.22,9.94
CCC(O)c1cc2c(cc1O)C13CCCCC1C(C2)N(CC1CCC1)CC3,7.14,369.55,4.69
COc1cccc2c1OC1CCCC3CN(C)CCC231,5.14,273.38,2.83
O=C(Nc1ccc(I)cc1)Nc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3,7.92,541.48,6.4
Oc1cc2c(cc1CNCCCCCCCCNCc1cc3c(cc1O)C14CCCCC1C(C3)N(CC1CCC1)CC4)CC1C3CCCCC23CCN1CC1CCC1,7.4,791.22,10.03
OC(COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3)CC(O)COc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CCC1)CC3,9.77,723.06,7.97
CN(C(=O)C(NC(=O)c1ccccc1)c1ccccc1)C(CN1CCCC1)c1ccccc1,7.0,441.58,4.45
O=C(NCCCn1c(O)nc2ccccc21)OCc1cc2c(cc1Cl)OCO2,5.76,403.82,3.44
COc1cc(C=CC(=O)N2CCC(n3c(O)nc4ccccc43)CC2)c([N+](=O)[O-])cc1OC,5.39,452.47,3.54
CN(C(=O)Cc1ccc(Cl)c(Cl)c1)C1CCCCC1N1CCCC1,7.34,369.34,4.4
COc1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)cc1,4.91,378.46,4.28
O=C(c1ccccn1)N(Cc1ccco1)C1(C(=O)Nc2ccc(Br)cc2)CCCCC1,7.01,482.38,5.42
CCCCN(Cc1cc2ccccc2nc1O)C(=O)c1ccccn1,5.28,335.41,3.78
Cc1ccc(CN2C3CCC2CC(Oc2cccc(C(N)=O)c2)C3)s1,7.7,356.49,3.73
NC(=O)c1cccc(OC2CC3CCC(C2)N3CCc2ccccc2)c1,6.12,350.46,3.4
NC(=O)c1cccc(OC2CC3CCC(C2)N3CC2CC2)c1,5.17,300.4,2.57
NC(=O)c1cccc(OC2CC3CCC(C2)N3CC(=O)Nc2ccccc2)c1,6.46,379.46,2.8
CCCCN(Cc1cc2cc(C)ccc2nc1O)C(=O)c1ccccn1,5.31,349.43,4.09
Oc1c(C=Nc2cccc3cccnc23)sc2ccccc12,6.27,304.37,4.91
CCN(CCNC(=O)c1ccc(CNS(=O)(=O)c2ccc(Br)cc2)cc1)Cc1ccccc1,4.71,530.49,4.18
O=C(O)c1nc2ccccc2n(C2CC3COCC(C2)N3C2CCCCCCC2)c1=O,5.22,425.53,3.61
NC1(C(=O)O)CCN(c2nc3ccccc3n(C3CC4CCC(C3)N4C3CCCCCCC3)c2=O)C1,6.37,493.65,3.67
CN(C(=O)O)C1CCN(c2nc3ccccc3n(C3CC4CCC(C3)N4C3CCCCCCC3)c2=O)C1,6.65,507.68,4.87
O=C(O)c1nc2ccccc2n(C2CC3CCCC(C2)N3C23CC4CC(CC(C4)C2)C3)c1=O,5.3,447.58,4.62
COC12Cc3cc(-c4ccc(Cl)cc4)cnc3C3Oc4c(O)ccc5c4C31CCN(C)C2C5,6.2,460.96,4.68
CN1CCC23c4c5ccc(O)c4OC2c2ncc(-c4ccc(Cl)cc4)cc2CC3(OC(=O)Cc2ccccc2)C1C5,6.96,565.07,5.82
COc1ccc2c3c1OC1C4(OC)C=CC5(CC4c4cccc(N)c4)C(C2)N(C)CCC315,4.8,430.55,3.67
